,SO2,CO,O3,PM10,PM25,NO2,pr
412,1.8,0.3,38.0,26.0,17.0,12.0,
413,1.8,0.29,42.0,27.0,15.0,11.0,
414,1.9,0.29,48.0,28.0,16.0,9.8,
415,1.7,0.31,50.0,25.0,12.0,11.0,
416,1.0,0.27,52.0,25.0,9.0,9.5,
417,1.2,0.27,55.0,20.0,11.0,8.6,
418,1.6,0.3,54.0,23.0,17.0,12.0,
419,1.7,0.35,50.0,39.0,26.0,17.0,
420,1.5,0.46,36.0,48.0,31.0,24.0,
421,1.6,0.49,31.0,58.0,27.0,24.0,
422,1.6,0.49,27.0,58.0,30.0,23.0,
423,1.9,0.57,18.0,54.0,30.0,28.0,
424,2.3,0.54,14.0,52.0,32.0,29.0,
425,2.5,0.71,4.8,48.0,27.0,37.0,
426,2.8,0.96,2.4,48.0,27.0,38.0,
427,4.1,1.03,3.6,58.0,36.0,39.0,
428,4.3,1.11,3.4,73.0,47.0,36.0,
429,3.1,0.76,4.5,80.0,54.0,29.0,
430,2.4,0.72,2.9,74.0,56.0,30.0,
431,2.0,0.62,3.9,61.0,47.0,27.0,
432,2.1,0.78,2.0,61.0,40.0,26.0,
433,2.3,0.83,2.1,54.0,36.0,26.0,
434,2.8,0.97,4.3,59.0,40.0,27.0,
435,2.9,0.76,15.0,58.0,39.0,26.0,
436,2.6,0.71,25.0,52.0,46.0,27.0,
437,2.0,0.36,38.0,41.0,31.0,16.0,
438,1.8,0.26,48.0,28.0,27.0,9.6,
439,1.7,0.24,55.0,32.0,15.0,8.9,
440,1.2,0.19,57.0,35.0,19.0,7.2,
441,1.2,0.18,56.0,35.0,16.0,5.5,
442,1.2,0.18,56.0,35.0,16.0,5.5,
443,1.3,0.22,51.0,31.0,20.0,8.6,
444,1.7,0.29,45.0,37.0,21.0,12.0,
445,1.8,0.35,38.0,43.0,29.0,15.0,
446,1.7,0.3,35.0,43.0,26.0,14.0,
447,1.5,0.32,30.0,43.0,33.0,15.0,
448,1.4,0.43,18.0,43.0,25.0,22.0,
449,1.6,0.55,7.0,47.0,35.0,31.0,
450,1.3,0.63,4.8,53.0,32.0,31.0,
451,1.8,0.54,7.1,50.0,39.0,26.0,
452,1.4,0.54,4.1,52.0,37.0,27.0,
453,1.5,0.61,1.8,50.0,43.0,27.0,
454,1.3,0.57,1.9,51.0,37.0,25.0,
455,1.2,0.5,3.5,42.0,32.0,23.0,
456,0.9,0.3,14.0,30.0,22.0,14.0,
457,0.9,0.21,26.0,27.0,18.0,9.6,
458,1.4,0.24,28.0,22.0,7.0,10.0,
459,1.8,0.27,30.0,24.0,6.0,11.0,
460,1.3,0.29,35.0,17.0,10.0,9.5,
461,1.0,0.25,40.0,13.0,10.0,8.8,
462,0.8,0.22,46.0,14.0,7.0,7.5,
463,1.3,0.23,52.0,15.0,4.0,7.2,
464,0.8,0.2,55.0,23.0,13.0,6.1,
465,0.7,0.2,54.0,26.0,19.0,6.9,
466,0.8,0.25,53.0,35.0,21.0,10.0,
467,0.9,0.28,50.0,39.0,22.0,11.0,
468,0.8,0.27,45.0,46.0,26.0,12.0,
469,0.8,0.28,42.0,44.0,32.0,12.0,
470,0.9,0.34,34.0,47.0,33.0,16.0,
471,0.9,0.43,27.0,50.0,31.0,19.0,
472,1.0,0.52,17.0,62.0,31.0,25.0,
473,1.1,0.77,4.5,66.0,31.0,36.0,
474,1.2,0.66,5.0,63.0,39.0,31.0,
475,1.0,0.73,1.9,60.0,43.0,29.0,
476,1.3,0.71,1.6,60.0,47.0,27.0,
477,1.2,0.68,1.6,63.0,42.0,28.0,
478,1.1,0.55,2.9,63.0,44.0,23.0,
479,0.9,0.31,8.0,56.0,38.0,14.0,
480,0.9,0.3,9.0,52.0,32.0,14.0,
481,0.8,0.26,19.0,40.0,26.0,11.0,
482,0.8,0.23,30.0,34.0,23.0,7.7,
483,0.7,0.24,31.0,38.0,34.0,9.2,
484,1.1,0.3,35.0,49.0,35.0,10.0,
485,1.4,0.33,41.0,55.0,35.0,13.0,
486,1.4,0.24,52.0,44.0,24.0,9.2,
487,1.1,0.18,56.0,33.0,23.0,5.4,
488,0.9,0.14,52.0,27.0,22.0,3.9,
489,0.9,0.15,51.0,22.0,17.0,4.7,
490,0.9,0.16,50.0,14.0,4.0,5.3,
491,0.9,0.18,48.0,12.0,8.0,6.8,
492,1.3,0.3,40.0,17.0,12.0,14.0,
493,1.4,0.33,36.0,27.0,22.0,17.0,
494,1.4,0.31,36.0,42.0,26.0,15.0,
495,1.3,0.29,35.0,44.0,24.0,16.0,
496,1.3,0.34,32.0,43.0,24.0,16.0,
497,1.4,0.28,35.0,32.0,20.0,14.0,
498,1.4,0.2,39.0,25.0,25.0,8.8,
499,1.3,0.19,38.0,23.0,21.0,6.8,
500,1.8,0.21,30.0,20.0,20.0,11.0,
501,1.6,0.3,21.0,21.0,21.0,15.0,
502,1.2,0.35,14.0,31.0,29.0,15.0,
503,1.2,0.37,11.0,30.0,24.0,16.0,
504,1.2,0.42,4.3,35.0,27.0,20.0,
505,1.4,0.52,6.9,36.0,24.0,21.0,
506,1.5,0.47,14.0,44.0,32.0,15.0,
507,1.6,0.52,21.0,43.0,31.0,17.0,
508,1.8,0.31,35.0,38.0,26.0,12.0,
509,2.0,0.46,46.0,40.0,31.0,9.5,
510,1.5,0.48,46.0,59.0,39.0,8.5,
511,1.2,0.46,40.0,69.0,47.0,8.0,
512,1.1,0.37,39.0,63.0,33.0,7.6,
513,1.1,0.37,34.0,44.0,33.0,7.6,
