,SO2,CO,O3,PM10,PM25,NO2,pr
5685,1.1,0.57,39.0,16.0,8.0,7.8,
5686,1.1,0.58,38.0,20.0,8.0,9.0,
5687,1.3,0.53,42.0,28.0,13.0,7.7,
5688,0.8,0.52,40.0,27.0,14.0,6.0,
5689,0.9,0.59,37.0,24.0,11.0,12.2,
5690,1.0,0.67,37.0,22.0,12.0,10.5,
5691,1.3,0.76,41.0,23.0,6.0,12.2,
5692,1.3,0.8,46.0,25.0,11.0,14.0,
5693,1.5,0.81,56.0,29.0,9.0,15.9,
5694,1.5,0.84,67.0,42.0,17.0,16.4,
5695,1.6,0.8,74.0,42.0,18.0,12.6,
5696,1.8,0.85,79.0,43.0,19.0,15.7,
5697,1.9,0.79,80.0,41.0,17.0,13.6,
5698,2.1,0.78,77.0,46.0,20.0,14.3,
5699,2.0,0.81,68.0,60.0,24.0,16.6,
5700,1.8,0.92,56.0,60.0,21.0,19.0,
5701,2.1,1.07,46.0,60.0,29.0,21.6,
5702,2.3,1.23,34.0,65.0,25.0,26.5,
5703,2.5,1.12,38.0,66.0,30.0,20.3,
5704,1.7,1.04,43.0,32.0,22.0,13.7,
5705,1.4,0.96,35.0,23.0,11.0,11.8,
5706,1.2,0.8,29.0,20.0,12.0,9.3,
5707,1.2,0.74,24.0,21.0,14.0,8.0,
5708,1.4,0.75,19.0,22.0,12.0,10.0,
5709,1.3,0.74,19.0,23.0,17.0,11.1,
5710,1.1,0.7,18.0,21.0,8.0,10.2,
5711,0.9,0.74,15.0,21.0,14.0,10.6,
5712,1.0,0.85,11.0,28.0,11.0,14.3,
5713,0.9,0.92,8.0,29.0,14.0,14.9,
5714,1.2,1.02,21.0,26.0,12.0,10.9,
5715,1.2,1.07,16.0,37.0,14.0,15.3,
5716,1.4,1.14,28.0,32.0,12.0,16.0,
5717,1.8,0.93,45.0,25.0,13.0,12.4,
5718,1.4,0.8,50.0,26.0,3.0,10.1,
5719,1.7,0.78,46.0,19.0,11.0,11.0,
5720,3.6,0.8,46.0,33.0,12.0,12.3,
5721,3.6,0.85,50.0,41.0,19.0,12.5,
5722,2.3,0.99,38.0,37.0,16.0,18.4,
5723,1.3,0.82,29.0,26.0,14.0,13.2,
5724,0.8,0.78,25.0,10.0,3.0,12.3,
5725,0.8,0.89,21.0,25.0,9.0,16.3,
5726,0.7,0.92,20.0,17.0,8.0,16.2,
5727,0.9,1.18,17.0,16.0,12.0,22.6,
5728,0.9,1.23,11.0,23.0,10.0,21.9,
5729,1.0,1.17,8.0,29.0,14.0,21.6,
5730,1.5,1.01,9.0,24.0,9.0,17.2,
5731,2.5,0.78,8.0,24.0,9.0,11.6,
5732,0.8,0.56,8.0,21.0,8.0,6.6,
5733,0.6,0.55,8.0,20.0,5.0,6.0,
5734,0.8,0.58,8.0,22.0,7.0,6.7,
5735,1.2,0.6,7.0,28.0,9.0,7.1,
5736,0.9,0.53,7.0,23.0,8.0,5.9,
5737,0.9,0.54,7.0,23.0,9.0,7.6,
5738,1.0,0.7,14.0,28.0,6.0,6.7,
5739,1.0,0.74,15.0,30.0,8.0,7.3,
5740,1.1,0.76,16.0,33.0,8.0,8.7,
5741,1.2,0.74,20.0,20.0,11.0,9.3,
5742,1.4,0.73,23.0,24.0,12.0,9.9,
5743,1.4,0.71,22.0,21.0,5.0,10.1,
5744,1.4,0.64,26.0,24.0,8.0,9.8,
5745,1.3,0.81,19.0,27.0,7.0,16.2,
5746,1.0,0.66,15.0,27.0,6.0,12.8,
5747,1.0,0.7,13.0,28.0,10.0,12.4,
5748,1.3,0.97,11.0,27.0,7.0,14.1,
5749,1.1,0.86,10.0,23.0,14.0,14.3,
5750,1.0,1.01,10.0,20.0,9.0,16.4,
5751,0.9,0.87,8.0,20.0,12.0,13.9,
5752,1.0,1.3,6.0,25.0,12.0,13.3,
5753,1.4,1.28,5.0,28.0,12.0,12.6,
5754,1.0,0.92,6.0,25.0,9.0,11.1,
5755,1.0,0.83,5.0,24.0,6.0,10.8,
5756,1.0,0.73,4.0,25.0,8.0,11.3,
5757,0.8,0.61,6.0,27.0,3.0,7.4,
5758,0.8,0.58,8.0,27.0,8.0,7.8,
5759,1.1,0.5,14.0,28.0,11.0,6.1,
5760,0.9,0.48,24.0,17.0,6.0,4.0,
5761,0.9,0.52,24.0,14.0,3.0,8.9,
5762,0.9,0.88,21.0,15.0,3.0,15.5,
5763,1.3,2.33,10.0,22.0,6.0,26.4,
5764,2.0,1.37,12.0,24.0,9.0,20.4,
5765,1.4,1.01,14.0,20.0,4.0,27.5,
5766,1.7,0.87,17.0,17.0,8.0,25.7,
5767,1.4,0.92,16.0,16.0,12.0,26.8,
5768,1.1,0.85,16.0,9.0,6.0,22.1,
5769,1.0,0.8,16.0,8.0,8.0,19.7,
5770,1.4,0.97,11.0,24.0,14.0,27.0,
5771,2.2,0.91,17.0,19.0,8.0,19.6,
5772,1.3,0.94,10.0,20.0,8.0,27.3,
5773,1.2,1.5,9.0,15.0,4.0,24.3,
5774,1.2,1.51,6.0,17.0,8.0,25.3,
5775,1.2,1.29,8.0,17.0,6.0,22.8,
5776,1.2,1.04,9.0,13.0,8.0,18.5,
5777,1.0,0.8,12.0,16.0,4.0,13.5,
5778,1.2,1.03,13.0,13.0,7.0,13.0,
5779,0.9,0.58,14.0,15.0,9.0,11.0,
5780,0.9,0.59,16.0,8.0,3.0,8.1,
5781,0.9,0.57,13.0,16.0,6.0,6.9,
5782,1.3,0.51,12.0,13.0,7.0,5.8,
5783,1.1,0.47,11.0,22.0,6.0,5.5,
5784,0.8,0.5,15.0,14.0,8.0,5.9,
5785,0.7,0.54,15.0,17.0,6.0,8.5,
5786,0.9,0.96,10.0,14.0,3.0,17.2,
5787,1.4,1.63,9.0,13.0,4.0,18.9,
5788,1.1,1.31,11.0,14.0,6.0,18.2,
5789,1.0,0.93,11.0,16.0,3.0,19.3,
5790,1.0,0.78,12.0,15.0,6.0,18.9,
5791,1.6,0.64,12.0,18.0,9.0,20.9,
5792,1.3,0.75,13.0,14.0,8.0,14.8,
5793,0.8,1.01,14.0,11.0,5.0,14.7,
5794,0.9,1.67,11.0,13.0,7.0,18.6,
5795,1.0,1.63,11.0,15.0,9.0,18.0,
5796,0.9,1.7,12.0,16.0,6.0,16.7,
5797,1.2,2.77,6.0,30.0,10.0,23.1,
5798,1.7,2.28,5.0,36.0,9.0,20.2,
5799,1.6,1.88,5.0,27.0,10.0,18.7,
5800,1.3,1.54,4.0,35.0,8.0,15.0,
5801,3.3,1.29,5.0,35.0,12.0,13.7,
5802,2.1,1.35,4.0,37.0,14.0,13.0,
5803,1.5,1.16,7.0,25.0,11.0,12.2,
5804,1.2,0.75,9.0,26.0,5.0,7.6,
5805,1.0,0.66,13.0,17.0,3.0,5.8,
5806,1.0,0.59,14.0,14.0,3.0,5.0,
5807,1.2,0.62,15.0,16.0,10.0,4.7,
5808,1.1,0.59,16.0,18.0,2.0,4.9,
5809,1.4,0.78,10.0,22.0,8.0,9.9,
5810,1.5,1.12,10.0,29.0,6.0,9.8,
5811,1.6,2.26,8.0,34.0,7.0,18.2,
5812,1.6,1.65,11.0,33.0,14.0,19.5,
5813,1.6,0.98,20.0,34.0,10.0,17.5,
5814,2.2,1.14,22.0,38.0,16.0,18.9,
5815,2.2,0.0,29.0,36.0,13.0,18.9,
5816,2.8,0.0,27.0,34.0,10.0,18.9,
5817,2.7,0.0,25.0,28.0,13.0,14.4,
5818,2.3,0.81,24.0,41.0,12.0,16.7,
5819,2.4,0.91,18.0,35.0,15.0,16.2,
