,SO2,O3,PM10,PM25,NO2,pr
5669,0.8,45,34.0,12.0,6.4,
5670,1.7,43,36.0,13.0,8.8,
5671,1.7,37,40.0,15.0,7.6,
5672,2.1,35,42.0,16.0,17.3,
5673,3.1,33,42.0,18.0,14.9,
5674,1.1,32,40.0,18.0,9.8,
5675,2.4,31,36.0,19.0,7.3,
5676,3.1,29,32.0,18.0,8.7,
5677,3.4,27,30.0,19.0,9.8,
5678,2.9,25,32.0,20.0,13.8,
5679,3.4,22,35.0,21.0,14.5,
5680,3.4,20,36.0,21.0,19.0,
5681,3.9,20,35.0,20.0,12.8,
5682,4.1,20,34.0,19.0,9.2,
5683,7.1,20,34.0,19.0,17.8,
5684,7.1,20,34.0,19.0,17.8,
5685,7.1,20,34.0,19.0,17.8,
5686,3.4,30,43.0,31.0,12.2,
5687,3.2,35,42.0,31.0,9.2,
5688,4.6,40,40.0,27.0,10.2,
5689,3.5,42,36.0,24.0,5.1,
5690,3.2,43,33.0,19.0,3.6,
5691,3.4,44,32.0,17.0,5.8,
5692,5.9,43,33.0,17.0,18.0,
5693,3.7,38,36.0,17.0,17.3,
5694,4.5,37,37.0,18.0,10.3,
5695,1.6,36,38.0,19.0,4.8,
5696,1.9,34,38.0,19.0,8.7,
5697,1.6,32,39.0,17.0,9.7,
5698,2.1,28,40.0,15.0,10.4,
5699,2.1,24,42.0,15.0,14.2,
5700,2.2,22,44.0,15.0,17.2,
5701,4.0,19,46.0,17.0,18.0,
5702,3.5,16,46.0,18.0,15.9,
5703,3.0,12,45.0,19.0,11.8,
5704,4.0,10,46.0,19.0,11.7,
5705,4.7,10,46.0,19.0,10.1,
5706,2.0,12,45.0,21.0,10.2,
5707,2.5,16,44.0,24.0,11.0,
5708,4.1,20,44.0,26.0,14.4,
5709,2.7,25,44.0,28.0,7.3,
5710,1.7,31,44.0,28.0,5.2,
5711,2.2,35,44.0,27.0,4.1,
5712,2.9,41,43.0,25.0,2.8,
5713,3.1,44,41.0,23.0,3.1,
5714,2.9,46,40.0,22.0,2.7,
5715,2.9,46,40.0,22.0,2.7,
5716,2.2,44,37.0,19.0,4.1,
5717,2.4,42,36.0,18.0,5.4,
5718,3.1,38,32.0,17.0,4.7,
5719,3.1,35,32.0,17.0,4.7,
5720,1.9,31,30.0,16.0,6.9,
5721,2.1,27,28.0,14.0,8.2,
5722,2.2,24,28.0,14.0,9.6,
5723,2.5,21,27.0,13.0,13.7,
5724,5.6,19,28.0,14.0,16.7,
