,SO2,O3,PM10,PM25,NO2,pr
419,5.3,18,22.0,23.0,24.5,
420,6.6,19,26.0,23.0,20.4,
421,6.6,22,28.0,25.0,20.4,
422,4.8,26,32.0,27.0,10.5,
423,4.2,31,32.0,28.0,7.7,
424,3.6,36,32.0,29.0,8.2,
425,2.7,41,32.0,29.0,9.9,
426,2.3,46,42.0,29.0,10.2,
427,2.3,49,45.0,28.0,12.7,
428,2.3,50,47.0,27.0,17.5,
429,2.3,48,50.0,25.0,17.5,
430,2.6,44,48.0,24.0,19.8,
431,2.1,38,46.0,24.0,21.3,
432,2.3,32,40.0,24.0,29.6,
433,2.5,25,39.0,25.0,36.6,
434,3.1,19,57.0,25.0,38.4,
435,3.1,14,64.0,26.0,37.3,
436,4.6,11,72.0,26.0,31.5,
437,3.8,8,84.0,25.0,30.7,
438,3.6,6,62.0,26.0,39.2,
439,3.1,4,50.0,27.0,36.6,
440,2.8,3,51.0,28.0,28.9,
441,3.2,4,58.0,30.0,27.9,
442,4.6,5,66.0,31.0,33.5,
443,4.6,5,66.0,31.0,33.5,
444,4.6,5,66.0,31.0,33.5,
445,4.6,5,66.0,31.0,33.5,
446,3.3,27,70.0,35.0,9.2,
447,3.7,33,64.0,34.0,8.4,
448,3.3,40,64.0,32.0,6.8,
449,3.2,46,64.0,31.0,7.6,
450,2.8,52,64.0,31.0,8.2,
451,2.7,54,64.0,30.0,11.2,
452,3.1,53,58.0,29.0,12.4,
453,3.2,51,58.0,28.0,13.8,
454,3.5,47,54.0,28.0,23.3,
455,3.5,41,50.0,28.0,36.6,
456,3.5,35,49.0,29.0,36.6,
457,3.1,28,42.0,29.0,38.2,
458,3.5,21,112.0,31.0,40.4,
459,3.5,16,112.0,33.0,34.2,
460,5.2,12,131.0,35.0,27.4,
461,4.3,9,131.0,36.0,25.0,
462,3.7,8,77.0,36.0,34.5,
463,3.8,10,79.0,37.0,29.5,
464,3.9,11,77.0,37.0,20.6,
465,4.3,12,66.0,36.0,19.9,
466,4.7,14,62.0,36.0,22.0,
467,4.3,18,58.0,34.0,13.2,
468,3.6,22,52.0,34.0,9.3,
469,3.8,27,58.0,35.0,8.9,
470,3.7,31,58.0,34.0,9.9,
471,3.2,33,58.0,32.0,8.6,
472,3.2,36,58.0,31.0,7.4,
473,3.2,39,58.0,29.0,8.3,
474,3.1,42,58.0,28.0,7.8,
475,3.1,43,58.0,28.0,10.1,
476,3.2,42,58.0,27.0,11.9,
477,3.0,39,58.0,26.0,12.2,
478,2.8,37,58.0,25.0,9.2,
479,2.8,34,58.0,24.0,15.3,
480,2.8,31,58.0,22.0,12.9,
481,2.8,29,30.0,22.0,11.3,
482,2.6,27,31.0,22.0,10.7,
483,2.6,24,32.0,23.0,11.7,
484,4.1,23,30.0,23.0,12.0,
485,3.0,22,30.0,23.0,9.6,
486,3.0,21,30.0,23.0,9.3,
487,2.7,21,28.0,21.0,10.3,
488,2.7,22,26.0,20.0,8.4,
489,2.8,22,24.0,19.0,8.6,
490,2.8,22,21.0,17.0,12.5,
491,3.0,23,21.0,17.0,12.9,
492,2.7,24,20.0,17.0,12.7,
493,2.8,25,22.0,18.0,13.2,
494,2.8,26,23.0,17.0,11.3,
495,3.2,28,22.0,17.0,11.8,
496,3.3,31,23.0,17.0,11.3,
497,3.0,33,22.0,18.0,10.4,
498,3.1,36,24.0,18.0,11.9,
499,3.2,37,24.0,19.0,16.0,
500,3.1,38,26.0,20.0,19.5,
501,3.1,39,28.0,20.0,17.6,
502,3.1,39,28.0,21.0,16.2,
503,3.0,40,28.0,21.0,14.8,
504,2.8,40,28.0,21.0,13.3,
505,2.7,41,26.0,21.0,11.5,
506,2.6,41,26.0,21.0,10.7,
507,2.6,41,26.0,21.0,9.1,
508,3.7,43,27.0,22.0,7.7,
509,3.2,43,27.0,21.0,7.9,
510,3.1,45,28.0,21.0,7.4,
511,2.7,46,29.0,20.0,7.4,
512,3.0,46,30.0,20.0,8.7,
513,2.8,47,30.0,21.0,8.8,
514,3.0,48,29.0,22.0,10.4,
515,3.0,50,30.0,24.0,11.8,
516,3.1,52,28.0,22.0,11.0,
517,3.1,53,26.0,22.0,8.8,
518,3.1,54,26.0,20.0,7.4,
519,3.2,54,25.0,18.0,8.2,
520,3.0,53,28.0,18.0,7.7,
521,3.1,52,32.0,18.0,8.4,
522,3.1,50,32.0,20.0,9.6,
523,3.1,47,32.0,20.0,10.2,
524,2.8,45,30.0,20.0,11.5,
525,2.8,42,27.0,19.0,10.9,
526,3.0,40,24.0,18.0,10.8,
527,3.0,38,22.0,16.0,11.4,
528,3.1,36,20.0,15.0,11.9,
529,3.0,34,18.0,14.0,12.2,
530,3.1,33,18.0,13.0,13.5,
531,3.1,32,16.0,13.0,13.8,
532,4.2,31,15.0,13.0,12.2,
533,3.3,31,13.0,12.0,11.8,
534,3.5,30,14.0,12.0,13.7,
535,3.1,30,14.0,12.0,13.4,
536,3.0,30,14.0,12.0,13.7,
537,3.0,29,16.0,12.0,14.2,
538,3.0,29,16.0,12.0,13.2,
539,3.0,29,16.0,12.0,9.1,
540,3.1,30,16.0,13.0,9.3,
541,3.3,30,14.0,14.0,12.0,
542,3.2,32,16.0,14.0,8.9,
543,3.3,34,16.0,14.0,8.8,
544,3.2,37,18.0,15.0,7.1,
545,3.5,39,22.0,15.0,9.1,
