,SO2,CO,O3,PM10,PM25,NO2,NO,pr
3587,1.6,0.34,2.9,24.0,10.0,15.0,3.8,
3588,1.9,0.44,0.8,30.0,7.0,17.0,5.8,
3589,1.4,0.25,3.7,28.0,13.0,10.0,3.6,
3590,1.2,0.25,3.1,28.0,13.0,10.0,3.2,
3591,1.1,0.17,3.9,22.0,16.0,7.7,2.5,
3592,1.2,0.18,2.9,20.0,5.0,6.3,1.3,
3593,1.5,0.17,3.1,15.0,7.0,6.2,1.4,
3594,1.1,0.21,3.0,19.0,7.0,6.0,3.3,
3595,2.3,0.28,4.3,22.0,7.0,6.9,6.4,
3596,2.4,0.38,7.8,23.0,7.0,7.4,6.8,
3597,2.2,0.4,16.0,20.0,7.0,9.3,5.7,
3598,1.8,0.23,19.0,25.0,7.0,5.7,3.0,
3599,2.7,0.19,29.0,26.0,7.0,5.6,2.1,
3600,2.0,0.21,47.0,25.0,7.0,6.0,1.5,
3601,1.7,0.16,48.0,25.0,5.0,4.8,1.2,
3602,2.2,0.17,53.0,23.0,9.0,4.8,1.5,
3603,2.9,0.19,56.0,19.0,13.0,5.3,1.8,
3604,3.5,0.21,54.0,19.0,9.0,5.6,1.3,
3605,2.7,0.21,49.0,31.0,18.0,5.4,1.4,
3606,2.5,0.2,44.0,38.0,10.0,6.4,1.5,
3607,2.2,0.24,31.0,36.0,16.0,8.4,1.6,
3608,2.0,0.26,24.0,30.0,4.0,8.4,1.5,
3609,1.3,0.25,26.0,32.0,10.0,7.9,1.3,
3610,1.1,0.29,21.0,26.0,8.0,12.0,1.0,
3611,1.3,0.36,16.0,30.0,11.0,14.0,1.2,
3612,1.1,0.27,18.0,25.0,13.0,9.0,1.0,
3613,1.6,0.25,13.0,31.0,16.0,9.9,0.9,
3614,1.2,0.15,13.0,25.0,13.0,4.2,1.1,
3615,1.1,0.17,9.5,20.0,4.0,6.0,1.5,
3616,1.4,0.16,6.1,24.0,4.0,7.2,1.6,
3617,1.1,0.16,6.1,20.0,5.0,6.7,1.3,
3618,1.9,0.24,4.3,26.0,5.0,7.8,3.2,
3619,2.5,0.34,6.0,24.0,5.0,9.0,7.2,
3620,2.8,0.49,11.0,27.0,10.0,11.0,9.0,
3621,2.8,0.33,20.0,33.0,14.0,9.3,5.3,
3622,3.0,0.26,35.0,28.0,15.0,8.8,2.7,
3623,2.8,0.24,46.0,30.0,15.0,10.0,2.9,
3624,2.8,0.24,46.0,30.0,15.0,10.0,2.9,
3625,2.8,0.24,46.0,30.0,15.0,10.0,2.9,
3626,2.8,0.24,46.0,30.0,15.0,10.0,2.9,
3627,2.8,0.24,46.0,30.0,15.0,10.0,2.9,
3628,2.8,0.24,46.0,30.0,15.0,10.0,2.9,
3629,2.9,0.14,27.0,37.0,6.0,10.0,1.9,
3630,3.0,0.28,23.0,38.0,10.0,13.0,2.3,
3631,2.8,0.38,17.0,40.0,16.0,19.0,1.6,
3632,1.9,0.3,18.0,37.0,20.0,14.0,0.4,
3633,2.1,0.42,14.0,37.0,17.0,15.0,-0.1,
3634,2.1,0.44,8.4,33.0,11.0,17.0,1.5,
3635,2.0,0.26,6.7,30.0,11.0,15.0,0.5,
3636,1.8,0.19,7.6,23.0,11.0,12.0,0.5,
3637,1.6,0.16,6.8,19.0,11.0,10.0,0.1,
3638,1.7,0.18,6.5,16.0,3.0,7.2,1.7,
3639,2.3,0.18,6.2,22.0,6.0,6.8,1.9,
3640,1.8,0.17,6.1,26.0,6.0,6.7,2.0,
3641,1.9,0.16,7.3,30.0,7.0,6.2,2.4,
3642,1.9,0.24,5.6,29.0,7.0,7.4,4.2,
3643,2.8,0.33,7.9,33.0,9.0,7.8,6.2,
