,SO2,O3,PM10,PM25,NO2,pr
583,2.6,18,70.0,20.0,17.2,
584,2.6,17,76.0,23.0,15.4,
585,2.5,17,84.0,28.0,15.9,
586,2.5,16,91.0,32.0,22.5,
587,2.5,14,96.0,36.0,26.1,
588,2.8,13,100.0,39.0,27.0,
589,2.8,13,106.0,42.0,24.4,
590,2.5,16,111.0,45.0,20.4,
591,2.2,19,116.0,47.0,18.7,
592,2.3,23,118.0,48.0,18.6,
593,2.7,26,117.0,47.0,19.0,
594,2.6,30,112.0,44.0,17.2,
595,2.6,35,105.0,42.0,20.9,
596,2.3,40,98.0,38.0,17.6,
597,2.3,42,92.0,36.0,17.8,
598,2.3,41,88.0,34.0,18.8,
599,2.3,38,86.0,31.0,19.5,
600,2.3,34,87.0,28.0,18.7,
601,2.5,32,86.0,25.0,17.0,
602,2.3,29,84.0,24.0,13.3,
603,2.5,26,80.0,22.0,15.1,
604,2.2,22,74.0,21.0,13.6,
605,2.2,20,64.0,18.0,11.6,
606,2.5,19,57.0,17.0,14.0,
607,2.5,19,53.0,15.0,12.5,
608,2.5,20,52.0,13.0,12.1,
609,2.3,20,52.0,13.0,11.2,
610,2.6,21,52.0,13.0,11.6,
611,2.5,22,50.0,13.0,14.5,
612,2.6,23,46.0,13.0,16.0,
613,2.5,24,44.0,12.0,15.5,
614,2.2,26,41.0,12.0,11.0,
615,2.1,27,36.0,10.0,10.6,
616,2.1,28,34.0,9.0,11.1,
617,2.0,30,35.0,10.0,10.0,
618,2.2,30,36.0,9.0,10.4,
619,2.1,31,37.0,9.0,12.0,
620,2.1,32,36.0,8.0,12.9,
621,2.3,32,36.0,7.0,16.2,
622,2.5,31,34.0,8.0,19.8,
623,2.2,29,36.0,9.0,22.1,
624,2.5,28,36.0,11.0,22.3,
625,2.5,26,38.0,13.0,24.7,
626,2.7,25,40.0,15.0,23.6,
627,2.6,25,46.0,21.0,22.1,
628,2.3,24,51.0,23.0,19.4,
629,2.3,24,51.0,25.0,17.9,
630,2.3,24,48.0,25.0,15.9,
631,2.3,25,42.0,23.0,14.3,
632,2.6,25,37.0,20.0,16.5,
633,2.5,26,35.0,19.0,20.1,
634,2.5,25,36.0,18.0,18.3,
635,2.3,25,36.0,17.0,20.5,
636,2.6,24,36.0,17.0,21.6,
637,2.6,24,38.0,17.0,17.6,
638,2.2,25,36.0,16.0,13.4,
639,2.0,27,34.0,13.0,13.1,
640,2.0,31,34.0,13.0,13.4,
641,2.1,35,39.0,14.0,12.6,
642,2.1,40,47.0,16.0,9.6,
643,2.1,45,59.0,20.0,11.6,
644,2.3,49,68.0,22.0,15.1,
645,2.3,51,72.0,24.0,18.3,
646,2.2,51,74.0,23.0,24.9,
647,2.2,49,72.0,22.0,23.3,
648,2.1,45,70.0,22.0,22.3,
649,2.2,39,68.0,21.0,26.0,
650,2.5,32,69.0,22.0,23.4,
651,2.5,27,70.0,23.0,22.1,
652,2.2,22,70.0,23.0,21.5,
653,2.5,18,71.0,23.0,20.3,
654,2.3,16,68.0,22.0,21.9,
655,2.5,13,66.0,22.0,20.1,
656,2.5,12,64.0,29.0,19.9,
657,2.5,11,62.0,28.0,18.8,
658,2.5,10,58.0,27.0,23.9,
659,2.6,9,56.0,26.0,28.1,
660,3.0,8,54.0,21.0,30.4,
661,3.0,7,58.0,23.0,32.2,
