,SO2,CO,PM10,PM25,NO2,pr
354,5.6,0.13,61.0,19.0,10.9,
355,5.6,0.13,60.0,18.0,13.5,
356,5.3,0.13,59.0,19.0,13.2,
357,5.8,0.14,62.0,21.0,12.6,
358,5.8,0.15,66.0,22.0,11.7,
359,5.9,0.16,68.0,23.0,11.6,
360,3.3,0.17,68.0,25.0,11.1,
361,3.6,0.17,67.0,25.0,12.3,
362,1.2,0.18,64.0,25.0,12.5,
363,0.8,0.19,58.0,25.0,13.1,
364,0.8,0.22,54.0,24.0,16.0,
365,0.8,0.23,54.0,25.0,14.5,
366,0.8,0.23,55.0,26.0,12.3,
367,0.8,0.24,56.0,27.0,12.8,
368,0.8,0.24,56.0,27.0,12.8,
369,0.8,0.26,58.0,26.0,14.4,
370,2.2,0.27,56.0,26.0,12.4,
371,0.7,0.27,56.0,26.0,12.1,
372,0.7,0.25,55.0,24.0,8.2,
373,0.4,0.23,54.0,22.0,5.5,
374,2.5,0.22,54.0,21.0,5.4,
375,1.8,0.2,58.0,20.0,4.8,
376,2.4,0.19,64.0,21.0,5.2,
377,1.1,0.16,72.0,22.0,4.8,
378,2.0,0.14,78.0,21.0,5.8,
379,2.1,0.12,82.0,22.0,7.0,
380,2.3,0.12,82.0,20.0,7.5,
381,1.9,0.12,81.0,19.0,7.5,
382,1.8,0.12,78.0,18.0,6.5,
383,2.3,0.12,75.0,16.0,6.2,
384,3.0,0.11,72.0,16.0,5.7,
385,3.9,0.11,68.0,17.0,7.6,
386,2.3,0.11,64.0,17.0,9.2,
387,2.2,0.12,60.0,17.0,11.6,
388,1.0,0.13,58.0,16.0,10.7,
389,2.1,0.14,56.0,16.0,10.6,
390,0.8,0.15,56.0,16.0,10.5,
391,0.5,0.17,55.0,16.0,9.7,
392,1.1,0.18,54.0,18.0,13.5,
393,2.6,0.19,54.0,19.0,16.1,
394,3.2,0.23,54.0,20.0,21.0,
395,2.8,0.25,54.0,22.0,13.9,
396,1.8,0.25,57.0,21.0,10.7,
397,1.0,0.23,61.0,21.0,10.2,
398,0.7,0.22,64.0,19.0,10.8,
399,0.5,0.2,68.0,18.0,7.4,
400,0.6,0.18,71.0,16.0,8.2,
401,0.4,0.16,76.0,15.0,9.8,
