,SO2,CO,O3,PM10,PM25,NO2,NO,pr
5987,1.5,0.25,31.0,28.0,9.0,11.0,1.5,
5988,1.6,0.26,31.0,25.0,9.0,9.6,1.3,
5989,1.5,0.25,34.0,21.0,13.0,9.5,1.4,
5990,1.2,0.22,37.0,22.0,10.0,8.0,1.2,
5991,1.5,0.21,37.0,25.0,12.0,7.6,1.4,
5992,0.7,0.2,37.0,27.0,11.0,6.8,1.2,
5993,1.8,0.15,36.0,29.0,8.0,5.8,0.7,
5994,2.0,0.16,34.0,26.0,9.0,5.7,0.6,
5995,1.9,0.14,35.0,30.0,8.0,5.5,0.7,
5996,1.7,0.13,39.0,29.0,9.0,4.4,0.7,
5997,1.5,0.13,41.0,32.0,6.0,4.5,0.6,
5998,1.7,0.15,40.0,25.0,14.0,5.5,0.7,
5999,2.1,0.22,38.0,27.0,14.0,8.2,1.2,
6000,2.1,0.2,38.0,31.0,15.0,8.8,1.8,
6001,2.0,0.19,38.0,38.0,3.0,8.8,2.6,
6002,2.0,0.19,38.0,38.0,3.0,8.8,2.6,
6003,2.8,0.19,37.0,37.0,3.0,8.8,2.6,
6004,2.9,0.24,50.0,35.0,2.0,9.7,2.8,
6005,2.5,0.16,49.0,30.0,4.0,7.4,1.7,
6006,2.8,0.17,47.0,31.0,6.0,7.2,1.8,
6007,2.6,0.17,44.0,26.0,5.0,7.6,1.7,
6008,2.5,0.19,39.0,26.0,10.0,8.3,1.4,
6009,2.5,0.23,34.0,21.0,13.0,12.0,1.6,
6010,2.8,0.24,32.0,20.0,12.0,11.0,1.5,
6011,2.4,0.23,33.0,22.0,14.0,9.3,0.8,
6012,2.5,0.22,33.0,22.0,9.0,8.5,0.6,
6013,2.5,0.22,33.0,27.0,14.0,7.7,0.5,
6014,2.6,0.19,34.0,23.0,10.0,6.5,0.6,
6015,2.6,0.17,35.0,22.0,10.0,5.9,0.5,
6016,2.7,0.17,34.0,16.0,9.0,7.1,0.6,
6017,1.4,0.14,37.0,19.0,5.0,5.9,0.6,
6018,1.3,0.14,38.0,17.0,9.0,5.4,0.6,
6019,1.6,0.14,39.0,14.0,9.0,5.2,0.4,
6020,1.6,0.14,41.0,16.0,9.0,4.6,0.6,
6021,1.5,0.14,41.0,18.0,9.0,4.6,0.5,
6022,1.9,0.17,39.0,21.0,3.0,5.8,0.6,
6023,1.9,0.23,39.0,18.0,4.0,7.3,1.3,
6024,1.8,0.23,40.0,17.0,3.0,8.4,1.9,
6025,2.0,0.19,45.0,19.0,4.0,8.7,2.5,
6026,1.7,0.18,51.0,23.0,11.0,6.6,1.8,
6027,1.9,0.21,56.0,29.0,13.0,6.2,1.3,
6028,1.6,0.2,57.0,32.0,6.0,7.1,1.5,
6029,1.4,0.2,58.0,30.0,4.0,6.7,1.2,
6030,1.6,0.2,50.0,36.0,11.0,7.7,1.5,
6031,1.6,0.2,47.0,37.0,11.0,8.0,1.8,
6032,1.3,0.21,47.0,49.0,12.0,8.6,1.5,
6033,1.5,0.24,46.0,47.0,6.0,9.8,0.8,
6034,1.4,0.24,44.0,41.0,8.0,9.7,0.8,
6035,1.4,0.22,45.0,25.0,5.0,8.4,0.6,
6036,1.4,0.21,47.0,21.0,5.0,7.6,0.5,
6037,1.4,0.22,45.0,27.0,9.0,9.3,0.6,
